"{""Objective"":""Generate an ultra-realistic street-fashion portrait of a young man walking confidently outdoors based on the provided reference image."",""Scene_Description"":{""Environment"":{""Setting"":""Wet pavement near a modern café"",""Background"":{""Style"":""Blurred urban environment"",""Elements"":[""Palm tree"",""Orange and black road barriers"",""Soft urban structures""]},""Lighting"":{""Type"":""Warm natural sunlight"",""Effects"":[""Crisp shadows"",""Golden highlights on clothing and hair"",""Instagram-style warm color mood""]},""Atmosphere"":""Casual, stylish, modern street fashion""},""Subject"":{""Identity"":""Maintain facial features consistent with the provided reference image"",""Appearance"":{""Hair"":""Stylish, slightly messy natural hairstyle"",""Expression"":""Calm, confident""},""Pose"":{""Action"":""Walking confidently on wet pavement"",""Hands"":""Partially in pockets"",""Body_Language"":""Relaxed yet assured, modern fashion posture""}}},""Wardrobe"":{""Outfit"":{""Jacket"":""Beige jacket"",""Shirt"":""White T-shirt"",""Pants"":""Baggy olive jeans"",""Footwear"":""White sneakers""}},""Visual_Style"":{""Aesthetic"":""Instagram-style street fashion"",""Quality"":""Ultra-realistic with sharp details"",""Color_Profile"":""Warm sunlight tones with soft urban contrast"",""Detail_Characteristics"":[""Realistic fabric texture"",""Wet pavement reflections"",""Cinematic blur and depth"",""High clarity in subject’s face and clothing""]},""Output_Requirements"":{""Format"":""Image"",""Quality"":""High-detail, photorealistic, street-fashion editorial""}}",Image Generation / Fashion Photography
"{""image_generation"":{""quality"":""hyper-realistic, high-detail, professional fashion photoshoot"",""face"":{""preserve_original"":true,""reference_match"":true,""description"":""Use the exact same face from the uploaded photo without altering any facial features or identity.""},""subject"":{""description"":""A stylish young woman with the same face as the reference photo."",""clothing"":{""top"":{""type"":""knitted sweater"",""color"":""soft Winnie-the-Pooh yellow""},""pants"":{""type"":""high-waisted jeans"",""color"":""warm honey beige""},""shoes"":{""type"":""high-top sneakers"",""color"":""white with subtle yellow accents""}},""pose"":""standing with one arm resting casually on a giant 3D-rendered Winnie the Pooh character"",""expression"":""natural, confident, casual fashion look""},""character_element"":{""name"":""Winnie the Pooh"",""type"":""giant 3D photorealistic render"",""style"":""clean, glossy, cartoon-accurate but ultra-detailed"",""color"":""classic Pooh yellow with vibrant red shirt"",""interaction"":""the woman’s arm rests on the character as if posing together""},""environment"":{""background"":""seamless solid vibrant honey-yellow backdrop"",""setting"":""professional photo studio"",""lighting"":""soft evenly diffused studio lighting with clean highlights and minimal shadows""},""aesthetic"":{""style"":""modern fashion photography"",""mood"":""playful, bright, stylish"",""details"":[""hyperrealistic skin texture"",""sharp fabric details"",""accurate lighting reflections on 3D character"",""smooth studio gradients""]}}}",Image Generation / Fashion Photography with 3D Character
"{""image_description"":{""subject"":{""face"":{""preserve_original"":true,""reference_match"":true,""description"":""The girl’s facial features, expression, and identity must remain exactly the same as the reference image.""},""girl"":{""age"":""young"",""hair"":""long, wavy brown hair"",""expression"":""puckering her lips toward the camera"",""clothing"":""black hooded sweatshirt""},""puppy"":{""type"":""small white puppy"",""eyes"":""light blue"",""expression"":""calm, looking forward""}},""environment"":{""setting"":""outdoors in a winter scene"",""elements"":[""snow covering the ground"",""bare trees in the background"",""blurred silver car behind the girl""],""sky"":""clear light blue sky""},""mood"":""cute, natural, winter outdoor moment"",""camera_style"":""soft depth of field, natural daylight, subtle winter tones""}}",Image Generation / Winter Outdoor Pet Portrait
"{""prompt"":""An ultra-realistic, full-body studio portrait of a 23-year-old woman. She has dark hair styled exactly as in the reference image and wears natural makeup with a serious, direct gaze into the camera. She is wearing a white and Skyblue color-block cropped hoodie, black high-waisted pants (or black leggings/jeans for a feminine fit), and white Puma athletic shoes."",""style_and_pose"":""She is seated gracefully on a pristine white platform."",""creative_concept"":""Multiple miniature versions of herself in the identical outfit are interacting with her: one perched on her head, two sitting on her shoulders, one seated in her open palm, one climbing her leg, and three walking nearby on the platform. All miniature figures must have the same serious expression and perfect likeness."",""lighting_and_environment"":""Seamless white studio background, high-end fashion lighting, ultra-detailed, photorealistic."",""constraints"":""Facial likeness must be 100% accurate to the provided reference image. Hair style must be 100% accurate to the provided reference image."",""signature"":""Shreya Yadav""}",Image Generation / Studio Portrait with Miniature Clones
"{""scene_description"":""A cohesive 4-panel fashion lifestyle collage featuring the same young woman in a cozy layered autumn outfit, showcasing relaxed poses in nature."",""subject"":{""type"":""Young Woman (Consistent character)"",""age"":""early 20s"",""features"":{""hair"":""loose natural hair with beanie"",""makeup"":""rosy cheeks""},""attire"":""chunky knit sweater, plaid scarf, long wool coat, jeans, boots"",""accessories"":""takeaway coffee cup""},""collage_layout"":{""structure"":""2x2 Grid Layout (4 frames of equal size)"",""panel_1_top_left"":""Full Body Dynamic: Throwing autumn leaves in the air or twirling, coat flowing, smiling broadly."",""panel_2_top_right"":""Sitting Side View: Sitting on a park bench with legs crossed, reading a book or looking at the scenery, holding coffee."",""panel_3_bottom_left"":""Mid-Shot Walking: Walking towards the camera holding the lapels of the coat, looking down shyly or smiling."",""panel_4_bottom_right"":""Portrait with Prop: Peeking out from behind the oversized scarf, holding the coffee cup near face for warmth, eyes smiling.""},""environment"":{""setting"":""Autumn Park / Forest Path"",""background_elements"":[""Orange and yellow leaves"",""Trees"",""Park bench""]},""lighting"":{""style"":""Golden Hour Soft"",""key_light"":{""type"":""Low Autumn Sun"",""color"":""Warm Golden"",""effect"":""Backlight or soft front light, magical atmosphere""}},""style"":{""medium"":""Portrait Photography"",""aesthetic"":""Cottagecore, Autumn Vibes, Cozy, Pinterest"",""quality"":""8k resolution, warm tones""},""attire_customization"":{""current_clothing"":""Wool coat and knitwear"",""customizable_clothing"":""User can swap for puffer jacket or raincoat""},""brand_product_customization"":{""current_brand_product"":""Winter Apparel"",""customizable_brand"":""User: Insert Brand Name"",""customizable_product"":""User: Specific coat or boots"",""product_placement_area"":""Coat texture or boots""}}",Image Generation / Autumn Fashion Lifestyle Collage
"{""prompt"":""A realistic photograph of a man wearing a trendy hoodie, striking an exaggerated, animated pose. Next to him is his exact lookalike, rendered in a lively American cartoon style (think 90s/early 2000s animation) with the same haircut, same facial features, and same exaggerated stance. The cartoon figure should be highly stylized, colorful, and dynamically rendered. The background is soft, minimal, and neutral to emphasize both figures. Cinematic lighting, high detail. Signature: Shreya Yadav."",""image_count"":1,""art_style"":[""photorealistic"",""american cartoon style""],""composition"":[""side-by-side comparison"",""full-body shot"",""minimal background""],""details"":[""trendy hoodie"",""exaggerated animated pose"",""high detail"",""cinematic lighting""],""signature"":""Shreya Yadav""}",Image Generation / Photorealistic and Cartoon Hybrid Portrait
"{""scene_description"":""A cohesive 4-panel fashion lifestyle collage featuring the same young woman in a trendy streetwear outfit, showcasing different dynamic poses and angles."",""subject"":{""type"":""Young Woman (Consistent character)"",""age"":""early 20s"",""features"":{""hair"":""high ponytail or messy bun"",""makeup"":""fresh urban look""},""attire"":""oversized graphic hoodie, biker shorts, high socks, chunky sneakers"",""accessories"":""cross-body bag, sunglasses on head""},""collage_layout"":{""structure"":""2x2 Grid Layout (4 frames of equal size)"",""panel_1_top_left"":""Front Full Body: Walking confidently towards the camera on a city crosswalk, hair moving in the wind, looking slightly to the side."",""panel_2_top_right"":""Side Profile Sitting: Sitting on concrete steps with knees pulled up, resting chin on knees, looking peacefully at the street view."",""panel_3_bottom_left"":""Back View Full Body: Standing and looking away at a city billboard or view, hands in hoodie pockets, highlighting the back graphic of the hoodie."",""panel_4_bottom_right"":""Mid-Shot Angle: Leaning casually against a brick wall, one leg up on the wall, looking directly at the camera with a cool expression.""},""environment"":{""setting"":""City Streets / Urban Alley"",""background_elements"":[""Brick textures"",""Street signs"",""City depth""]},""lighting"":{""style"":""Overcast Soft Light"",""key_light"":{""type"":""Natural Sky"",""color"":""Cool White"",""effect"":""Even lighting ideal for street fashion""}},""style"":{""medium"":""Digital Street Photography"",""aesthetic"":""Hypebeast, Urban, Gen Z, Candid"",""quality"":""8k resolution, sharp focus on subject""},""attire_customization"":{""current_clothing"":""Hoodie and biker shorts"",""customizable_clothing"":""User can swap for denim jacket and cargo pants""},""brand_product_customization"":{""current_brand_product"":""Streetwear"",""customizable_brand"":""User: Insert Brand Name"",""customizable_product"":""User: Specific sneakers or bag"",""product_placement_area"":""Hoodie chest or sneakers""}}",Image Generation / Urban Streetwear Lifestyle Collage
"{""intent"":""Photorealistic image generation utilizing the provided depth map as a strict structural control signal to replicate the specific pose and composition."",""frame"":{""aspect_ratio"":""1:1"",""composition"":""High-angle, overhead bird's-eye view strictly adhering to the geometry of the uploaded depth map. The subject is centered diagonally."",""control_guidance"":{""type"":""Depth Map ControlNet"",""strength"":""1.0"",""instruction"":""Strictly follow the spatial arrangement and depth gradients of the input image to maintain the exact body position and object placement.""}},""subject"":{""identity"":""Young adult female with an athletic, flexible physique."",""pose"":""Performing a full center split (straddle split) on the floor, leaning forward to rest elbows on the ground, exactly matching the depth silhouette."",""wardrobe"":""Tight-fitting athletic wear. Specifically, opaque black high-waisted leggings that conform to the leg musculature, paired with a matching black sports bra."",""action"":""Operating a laptop placed on the floor in front of her, resting chin in one hand while using the trackpad with the other."",""details"":""Barefoot, natural skin texture visible on arms and back.""},""environment"":{""location"":""Luxurious interior space featuring a high-gloss, polished marble floor."",""surface_texture"":""White Carrara marble with distinctive soft grey veining. The surface is highly reflective, casting faint reflections of the subject and objects."",""props"":""A silver laptop open on the floor. Surrounding items include a rectangular snack box, a small beverage bottle, and a wrapper, positioned exactly as indicated by the depth map blocks.""},""lighting"":{""type"":""Soft, cool daylight diffused through a window."",""interaction"":""Light reflects sharply off the polished marble floor, creating specular highlights and soft, cool shadows beneath the subject's legs and the laptop."",""color_temperature"":""5600K"",""quality"":""Even, shadow-softening illumination suitable for a clean, modern aesthetic.""},""camera"":{""sensor_format"":""Full-frame digital."",""lens"":""35mm wide-angle lens to capture the spread of the split from above."",""camera_position"":""Directly overhead (zenith view), parallel to the floor."",""focus"":""Sharp focus on the subject and the immediate floor area, utilizing the depth map to determine the focal plane.""},""negative"":{""style"":""No wood grain, no carpet, no rustic textures, no anime, no sketch, no low-quality render."",""content"":""No incorrect limb positioning, no floating objects, no matte floor finish, no distortion of the laptop screen.""}}",Image Generation / Photorealistic Overhead Pose with Depth Map Control
"{""prompt_description"":{""subject"":{""demographics"":""19-year-old brunette girl"",""facial_features"":""exact facial features must match reference photo"",""expression"":{""mood"":""regal and composed"",""chin"":""slightly lifted"",""lips"":""relaxed"",""eyes"":""engaged with camera""},""pose"":{""seating"":""seated confidently in the driver’s seat"",""torso"":""angled slightly forward"",""legs"":""extended diagonally"",""hands"":""one resting on thigh, the other near steering wheel""},""styling"":{""hair"":""voluminous waves tucked under the hat"",""outfit"":{""dress"":""deep red velvet winter outfit with rich texture, long-sleeved with fur trim on collar and cuffs"",""gloves"":""matching red velvet with ornate jeweled embellishments"",""hat"":""luxurious fur hat in matching red tone"",""boots"":""black glossy thigh-high wrapped in silver chains""},""jewelry"":{""earrings"":""large dangling earrings with silver and ruby stones""},""textures"":{""velvet"":""matte"",""boots"":""glossy"",""jewelry"":""sparkly""}}},""environment"":{""location"":""vintage red luxury car"",""interior"":""red leather matching outfit"",""background"":""snowy urban background visible through car windows""},""lighting"":{""type"":""soft diffused daylight from outside, warm bounce light from red interior"",""contrast"":""high contrast between warm interior and cold exterior"",""shadows_highlights"":""warm shadows and cool highlights""},""photographic_style"":{""mood"":""editorial winter fashion mood, nostalgic atmosphere"",""aesthetic"":""retro photo aesthetic, shot on old analog film camera"",""film_characteristics"":""vintage grain, muted tones, soft vignette, authentic film imperfections"",""composition"":""cinematic with clear depth planes"",""framing"":""medium-full crop"",""camera_angle"":""slightly low""},""technical_parameters"":{""aspect_ratio"":""--ar 3:4"",""model_version"":""--v 6"",""style_flag"":""--style retro"",""quality_flag"":""--q 2""}},""negative_constraints"":[""no outfit changes"",""no color shifts"",""no different car interiors"",""no different boots"",""no missing chains"",""no alternate hairstyles"",""no smiling"",""no open mouth"",""no different earrings"",""no casual clothing"",""no studio background"",""no snow inside car"",""no low-quality textures"",""no blur"",""no alternate lighting setups"",""no different angles"",""no different poses"",""no missing gloves"",""no hatless versions"",""no alternate expressions"",""no makeup changes"",""no jewelry drift"",""no cropped face"",""no face mismatch with reference""]}",Image Generation / Editorial Fashion Car Interior Portrait
"{""prompt"":""A stunning woman, with the exact same face, figure, and hair style as the provided reference image, posing elegantly in a luxurious, bright interior. The setting includes large windows looking out onto lush tropical foliage. She is wearing a black halter-neck bikini top with crisscross straps, paired with a sheer black polka-dot sarong tied at her hip, revealing a hint of her leg."",""style"":""photorealistic, high-end fashion photography, soft natural lighting"",""constraints"":{""face_consistency"":""100%"",""figure_consistency"":""100%"",""hair_consistency"":""100%"",""setting"":""luxurious, bright interior, large windows, lush tropical foliage view"",""attire"":""black halter-neck bikini top with crisscross straps, sheer black polka-dot sarong tied at hip""},""signature"":""Shreya Yadav""}",Image Generation / Luxury Indoor Swimwear Portrait
"{""prompt"":{""scene"":{""location"":""gas station"",""time_of_day"":""night"",""elements"":[""black Porsche GT3 RS"",""wet ground reflecting colorful urban lights"",""gas station elements"",""building with signs""]},""subject"":{""gender"":""female"",""pose"":""leaning against Porsche GT3 RS"",""clothing"":{""type"":""tracksuit"",""color"":""black"",""detailing"":""distinct orange and yellow lettering""},""hair"":{""style"":""wavy"",""details"":""slightly wavy""},""face"":{""accuracy"":100}},""image_quality"":{""style"":""ultra-realistic"",""resolution"":""8k"",""features"":[""cinematic night lighting"",""HDR cinematic sharpness"",""hyper-detailed textures""],""camera"":{""model"":""iPhone 17 Pro Max"",""photo_characteristics"":[""natural proportions"",""realistic textures"",""vibrant reflections from artificial lights""]}},""color_grading"":{""mood"":""dark and moody"",""lighting"":""vibrant reflections from urban lights""}}}",Image Generation / Nighttime Automotive Fashion Portrait
"{""scene"":{""environment"":""sandy beach"",""time"":""midday"",""lighting"":""harsh direct sunlight at 90 degrees"",""surface"":{""towel_pattern"":""vertical thick orange and white stripes"",""towel_texture"":""cotton, high contrast, crisp fibers""}},""camera"":{""angle"":""top_down"",""framing"":""tight_crop_centered_on_back"",""lens"":""50mm"",""focus"":""extreme_sharpness"",""distance"":""close"",""depth_of_field"":""shallow"",""detail"":""ultra_high""},""subject"":{""type"":""female_back"",""body_type"":""fit_athletic_sexy"",""age"":""young_adult"",""pose"":""lying_face_down_on_towel"",""skin"":{""tone"":""deep_bronze"",""texture"":""hyperrealistic_pores_fine_details_subtle_imperfections"",""specularity"":""soft_sunlit_highlights"",""sunburn_effect"":{""type"":""authentic_uv_tanline"",""distribution"":""strong_even_redness_across_shoulders_and_upper_back"",""contrast"":""very_high"",""microdetails"":""natural_skin_variation, tiny freckles, light sweat sheen"",""text_tanline"":{""text"":""NANO BANANA PRO"",""appearance"":""lighter_untanned_skin_from_sunscreen_stencil"",""edge_sharpness"":""razor_crisp"",""integration"":""fully_blended_uv_tanline_not_overlay"",""realism"":""high""}}},""hair"":{""position"":""swept_to_the_side"",""lighting"":""sunlit_highlights""}},""clothing"":{""bottom"":""blue thong"",""color"":""vivid_blue"",""texture"":""smooth_elastic_swimwear_fabric"",""fit"":""tight_high_leg_cut_minimal_back_coverage""},""style"":{""render"":""hyperrealistic"",""resolution"":""very_high"",""color_profile"":""vibrant_summer_palette"",""shadow_behavior"":""hard_crisp_shadows"",""mood"":""luxury_beach_ad"",""quality"":""extreme_ultra_detail""}}",Image Generation / Hyperrealistic Beach Portrait with UV Tan Art
"{""description"":""A beautiful young woman reclining naturally on a rocky cliff edge overlooking turquoise ocean waves."",""subject"":{""gender"":""female"",""age"":""young adult"",""appearance"":{""hair"":""long, wavy brown hair"",""clothing"":{""dress"":""strapless pink floral mini dress"",""shoes"":""beige flat espadrilles""},""pose"":""relaxed, natural reclining pose with correct limb orientation"",""anatomy_constraints"":[""no flipped legs"",""no distorted limbs"",""natural leg positioning"",""realistic body proportions""]}},""environment"":{""location"":""dramatic coastal cliffs"",""foreground"":""rocky cliff edge"",""midground"":""turquoise ocean waves crashing below"",""background"":{""hills"":""green rolling hills"",""sky"":""clear blue with scattered clouds""},""lighting"":""bright natural sunlight, cinematic lighting, photorealistic""},""camera"":{""style"":""high detail, shot on 35mm film"",""aspect_ratio"":""1:1""},""parameters"":{""version"":""6"",""stylize"":250,""quality"":2}}",Image Generation / Coastal Outdoor Fashion Portrait
"{""prompt"":""Ultra-realistic cinematic portrait of a girl, standing alone in quiet after-evening blue hour. Gentle, thoughtful expression glowing in soft blue light. Wearing a stylish black fitted shirt with an open charcoal overcoat draped over shoulders, textured messy hair (short bob/lob), glasses, smartwatch. Shot on DSLR 85mm lens, shallow depth, HDR lighting, warm dapple backlight, dreamy dramatic bokeh, soft lens flare, high-contrast shadows, subtle atmospheric haze. Ultra-clean professional Photoshop finish, poetic dreamy romantic mood. The subject has an appearance similar to the uploaded reference image."",""modifiers"":[""Ultra-realistic"",""Cinematic portrait"",""DSLR 85mm lens"",""Shallow depth"",""HDR lighting"",""Warm dapple backlight"",""Dreamy dramatic bokeh"",""Soft lens flare"",""High-contrast shadows"",""Subtle atmospheric haze"",""Ultra-clean professional Photoshop finish"",""Poetic dreamy romantic mood""],""subject_details"":{""person"":""Girl, standing alone"",""expression"":""Gentle, thoughtful"",""attire"":""Stylish black fitted shirt, open charcoal overcoat draped over shoulders, glasses, smartwatch"",""hair"":""Textured messy hair (short bob/lob)""},""setting"":{""time"":""Quiet after-evening blue hour (Blue Hour)"",""lighting"":""Soft blue light, glowing expression, streetlights/bokeh in background""},""technical_instructions"":{""face_constraint"":""Face similar to reference photo"",""signature"":""SANIA""}}",Image Generation / Cinematic Blue Hour Portrait
"{""scene_description"":""A photorealistic, high-end 3D product visualization of a perfectly assembled packaging box derived from a dieline, set in a pristine minimal studio."",""subject"":{""type"":""Assembled Packaging Box"",""material"":""Premium matte paperboard"",""features"":{""structure"":""Perfectly folded, accurate panel placement, sharp clean edges"",""surface"":""Smooth matte texture with high-fidelity print rendering""},""position"":""Upright, angled at a refined ¾ perspective view to show front and side panels"",""artwork_state"":""Undistorted typography, preserving original design exactly""},""action"":{""primary"":""Standing static on a surface"",""secondary"":""Casting a gentle shadow"",""effect"":""Demonstrates structural integrity and design elegance""},""environment"":{""setting"":""Minimalist High-End Studio Void"",""foreground_elements"":[""Clean, smooth surface"",""Soft contact shadows""],""background_elements"":[""Soft neutral seamless backdrop (light grey/cream)"",""Zero distractions"",""No extra props""]},""lighting"":{""style"":""Soft Commercial Product Lighting (Global Illumination)"",""key_light"":{""type"":""Large Diffused Softbox"",""color"":""Neutral White (5500K)"",""illuminates"":[""The face of the box evenly"",""The matte texture of the paper""]},""fill_light"":{""type"":""White Reflector"",""effect"":""Softens shadows to ensure artwork visibility""},""shadows"":""Subtle, soft gradient shadows anchoring the object""},""style"":{""medium"":""3D Rendering / Product Photography"",""aesthetic"":""Premium Editorial, Mockup Style, Minimalist Luxury"",""quality"":""8k resolution, ray-traced optics, physically based rendering (PBR)"",""details"":""Crisp folds, zero distortion, matte paper grain visibility""},""scene_composition"":{""subject_action"":""Static presentation"",""camera_behavior"":""Locked-off tripod shot"",""depth_layering"":""Sharp Subject -> Infinite Soft Background""},""visual_description"":{""core_subject"":""A flawless 3D box assembled from a flat dieline."",""attire_physics"":""N/A - Rigid Body physics."",""surface_rendering"":""Non-reflective matte finish that absorbs light softly, ensuring text is readable and colors are true.""},""lighting_and_atmosphere"":{""type"":""Clean Studio"",""specifics"":""Even light distribution, ambient occlusion in the creases."",""color_grade"":""Natural, color-calibrated, neutral tones.""},""attire_customization"":{""current_clothing"":""N/A"",""customizable_clothing"":""N/A""},""brand_product_customization"":{""current_brand_product"":""Packaging Design"",""customizable_brand"":""User: Insert Brand Name/Logo for the box"",""customizable_product"":""User: Describe the box type (e.g., cosmetic box, tuck-end box)"",""product_placement_area"":""All visible panels (Front, Side, Top)""},""objects_and_props"":{""main_objects"":[""The 3D Box""],""secondary_objects"":[]},""camera_and_lens"":{""focal_length_feel"":""85mm or 100mm (Telephoto to eliminate perspective distortion)"",""aperture_effect"":""f/16 (Deep depth of field for edge-to-edge sharpness)"",""camera_angle"":""Isometric or ¾ perspective"",""lens_type"":""Studio Macro Lens"",""bokeh_style"":""None (Smooth gradient background)""},""technical_tags"":""--v 6 --ar 4:5 --stylize 150 --no warping, distortion, messy background, props, glossy reflection, low poly""}",3D Rendering / High-End Packaging Product Visualization
"{""project_constraints"":{""facial_rendering"":""100% original facial features (Do not edit the face)"",""resolution"":""1200x1200px"",""output_quality"":""Photo-realistic, 8K resolution""},""camera_and_style"":{""device_emulation"":""Y2k-era digital camera (Canon IXUS / Sony Cyber-shot)"",""perspective"":""Low-angle, shot from behind at a 3/4 angle"",""visual_aesthetic"":""Cinematic, nostalgic"",""post_processing"":{""grain"":""Thin film grain"",""depth_of_field"":""Shallow"",""color_grading"":""Bright overall tone with a slight pinkish-purple hue""}},""subject_details"":{""demographics"":""Beautiful young woman"",""physique"":""Hourglass figure, fair dewy skin"",""hair"":""Long, wavy, thick milk-brown hair, spiral curls reaching waist"",""makeup"":{""base"":""Light brown nude"",""eyes"":""Aussie eyeliner"",""finish"":""Glossy cheek and lip color""},""nails"":""Long, polished in shiny wine red""},""pose_and_action"":{""position"":""Sitting sideways in passenger seat"",""hands"":""Right hand gripping steering wheel, left hand lifting hair up"",""expression"":""Looking back over shoulder, seductive and confident""},""fashion_and_accessories"":{""top"":""Shiny white tube top with open back and delicate crisscross detail"",""bottom"":""Light blue high-waisted jeans (fitted)"",""jewelry"":""Several gold rings, matching bracelet"",""bag"":""Small Chanel Vanity bag with black gold chain (on armrest)""},""environment"":{""location"":""Interior of luxury SUV (Mercedes-Benz style)"",""interior_elements"":""Wooden trim, light beige leather seats"",""time_of_day"":""Night""},""lighting"":{""technique"":""Direct flash photography"",""sources"":[""Soft warm interior lighting"",""Cool blue dashboard light"",""City light bokeh through windows""],""characteristics"":""High contrast, pronounced flash shadows, realistic cinematic lighting""}}",Image Generation / Cinematic Automotive Interior Portrait
"{""image_generation"":{""type"":""editorial_portrait"",""quality"":""ultra-detailed, 8k, cinematic lighting"",""subject"":{""description"":""A young woman with long wavy brown hair styled with two thin front braids, lying on her side in an elegant vintage setting."",""face"":{""preserve_original"":true,""reference_match"":true,""description"":""Use the same facial structure and expression as the woman in the reference image.""},""pose"":""reclining on her side, head supported by one hand, body slightly angled toward the camera"",""expression"":""soft, calm, and slightly dreamy"",""outfit"":{""dress"":""rust-orange satin long-sleeve dress"",""corset"":""pictorial printed corset with classical painting imagery"",""accessories"":[""gold choker necklace"",""long, manicured nails in warm orange tone""]}},""animal"":{""type"":""orange British Shorthair cat"",""pose"":""lying comfortably in front of the woman"",""expression"":""relaxed and calm""},""environment"":{""setting"":""warm vintage interior"",""elements"":[""old wooden chests"",""stacks of aged, yellowed books"",""glass vase with dried eucalyptus branches"",""wooden floor with warm tones""],""lighting"":""soft warm studio lighting with gentle shadows""},""aesthetic"":{""mood"":""vintage, elegant, artistic"",""color_palette"":""warm browns, golds, and muted neutrals"",""texture"":""rich fabrics, aged paper, brushed wood, soft cat fur"",""style"":""editorial, painterly, cinematic""}}}",Image Generation / Editorial Vintage Indoor Portrait with Cat
"{""pose"":{""description"":""She holds the camera with her left hand, positioned slightly below eye level, capturing her face from a confident upward angle; lips softly parted, expression calm yet intense.""},""background"":{""description"":""A dark winter night sky with faint, lightly frosted tree branches barely visible, adding a dramatic atmosphere.""},""atmosphere"":{""description"":""Cold, cinematic, and raw winter energy; a stylish modern snowy portrait with natural texture and detail.""},""reference_style"":{""description"":""Conceptual variant."",""details"":{""shot"":""A close-up outdoor selfie taken at night during heavy snowfall."",""subject"":""The woman’s facial features match the reference image exactly."",""skin"":{""description"":""Natural tone with visible, realistic skin texture. Her cheeks are slightly flushed from the cold.""},""snow_details"":{""description"":""Snowflakes rest on her lashes and hair.""},""outfit"":{""description"":""She wears a black faux-fur winter hat almost fully covered in snow, and a shiny black puffer jacket with snow dusted across the shoulders and collar.""},""camera"":{""description"":""She is taking the selfie with her left hand.""},""lighting"":{""description"":""Soft, cold night lighting from above and slightly in front, creating a subtle glow on her cheeks and gentle highlights on the jacket.""}}},""negative_prompt"":{""description"":[""blurry face"",""altered facial features"",""incorrect facial structure"",""distorted proportions"",""extra limbs"",""extra fingers"",""missing fingers"",""deformed eyes"",""inaccurate expression"",""unrealistic skin texture"",""plastic skin"",""oversoftened skin"",""unnatural lighting"",""harsh shadows"",""artifacts"",""pixelation"",""low resolution""]}}",Image Generation / Cinematic Winter Night Selfie Portrait
"{""image"":{""subject"":{""description"":""A beautiful woman with long, dark hair, posing confidently."",""pose"":""Sitting on the back of a convertible car with a self-assured expression.""},""attire"":{""top"":""Trendy thin strap white cropped top with a tie front detail."",""bottom"":""Pleated plaid mini-skirt."",""accessory"":""A unique patterned tie worn loosely.""},""vehicle"":{""type"":""Sleek, dark yellow convertible sports car."",""interior"":""Luxurious brown leather seats visible."",""wheels"":""Black alloy wheels contrasting with the exterior.""},""setting"":{""background"":""Simple, sunlit outdoor environment with paved ground and indistinct greenery.""},""format"":{""resolution"":""1200x1200px"",""consistency"":""100% same face & body details throughout.""}}}",Image Generation / Fashion Portrait with Convertible Car
"{""prompt_breakdown"":{""subject_parameters"":{""identity_constraint"":""Preserve facial features from reference image"",""hair"":""Long, ash-brown, textured wolf cut"",""expression"":""Relaxed, dreamy, looking to the side""},""apparel"":{""top"":""Sleeveless cropped black hoodie with high collar"",""bottom"":""Faded black denim shorts, vintage distressed style, raw hem with frayed fibers"",""footwear"":""Onitsuka Tiger Mexico 66 sneakers (Yellow and Black)""},""pose_and_action"":{""body_position"":""Lying relaxed inside an open car trunk, legs bent and crossed"",""arms"":""Right arm stretched upward, left hand holding a lit cigarette near mouth"",""action"":""Smoking""},""environment_and_props"":{""primary_container"":""Trunk of a bright yellow sports car"",""trunk_contents"":""Transparent box, yellow bottle or black tube attached to the side"",""background"":""Dark outdoor nighttime setting, faint building silhouette, partial wheel of another vehicle on the left""},""technical_specs"":{""angle"":""High-angle shot (looking down)"",""lighting"":""Hard direct flash (35mm analog style), dark ambient background"",""medium"":""Flash photography, grainy film texture"",""atmosphere"":""Edgy, mysterious, candid""}}}",Image Generation / Edgy Urban Nighttime Car Trunk Portrait
