prompts,Metadata / Instruction
"Use the exact face of the uploaded person and preserve their facial features without alteration. Create a cinematic night-drive portrait of the subject leaning slightly out of a moving car window while remaining seated inside the vehicle. The subject turns their head back toward the camera with a relaxed, intimate, slightly playful expression. Wind moves through their hair as the car travels along a dimly lit road.
Soft streetlights stretch into glowing trails across the background, and the sky is a deep navy blue with moonlight diffused behind thin clouds. The lighting is low-contrast and moody, with a soft, dreamy film-like grain. The overall color palette blends dark blue tones with soft pink accents, creating a dreamy night atmosphere: deep navy sky, desaturated cool hues, gentle warm skin tones, and realistic low-saturation streetlight streaks with a subtle vintage bluish-grey cinematic mood.
If the subject is female, dress them in a loose, off-shoulder cream knit sweater that drapes casually down one shoulder, adding warmth and softness.
If the subject is male, dress them in a simple cream knit sweater with a clean neckline, fitted enough to look classic and comfortable.
Camera angle: shot from inside the car, close and intimate, focusing primarily on the subject’s face and wind-swept hair while showing them leaning slightly toward the open window. The subject is always positioned inside the vehicle, facing the camera in this same posture",Image Generation / Cinematic Night Drive Portrait
"Photorealistic Hong Kong retro portrait with authentic 1990s film look.
Use image [0] as face reference. Half-body. Subject leaning against newspaper-covered wall, gaze soft and melancholic. Cropped bralette top embroidered with pearls and sequins Loose high-waisted trousers with elastic waistband, typical 1990s street style. Hair messy, strands falling across face. Makeup glossy lips, dewy skin. Narrow Hong Kong room, walls plastered with old yellowed Cantonese newspapers.",Image Generation / Retro Hong Kong Portrait
"Lincoln, one of the top CEOs in the country",Text Generation / CEO Profile Description
"Che Guevara leading the revolution, even in 2025",Text Generation / Revolutionary Historical Concept
Nixon welcoming the King in his office inside the Watergate building,Text Generation / Historical Meeting Scene
"Churchill, CEO of the UK Corp.",Text Generation / Corporate Historical Figure
German soldiers waving the flag in Berlin,Text Generation / Military Historical Event
"Everyone is capturing this special moment, celebrating ""WORLD PEACE 2025""",Text Generation / Global Peace Celebration
"Muhammad Ali, sponsored by Prime",Text Generation / Sports Celebrity Endorsement
"Lyndon B. Johnson taking the oath, read from an iPad",Text Generation / Historical Oath Ceremony
Einstein would totally wear Patagonia and an Apple Watch,Text Generation / Historical Figure Modern Fashion
Marilyn in Times Square holding her iPhone in her hand,Text Generation / Historical Celebrity with Gadget
"Hyper-realistic 4K cinematic portrait of a 22-year-old young woman.
Create a stylish, modern look with voluminous dark silky hair flowing naturally. She is wearing a yellow hoodie with a white hood, and square rimless gradient yellow sunglasses.

Single accessory: a sleek wristwatch.

She gives a confident attitude look.

The hoodie features a small ""Shivay"" logo on the front. The background is soft, minimal, and subtly blurred to emphasize",Image Generation / Stylish Modern Portrait
"Create a detailed technical illustration of a Cybernetic Samurai, exploded into components: katana with energy core, cybernetic limbs, neural processor, armor plating, and internal power systems. Each part is labeled with clean futuristic font. Use a graphite and crimson color scheme on a dark blueprint background. Add subtle particle glow and depth shadows. Studio render style.",Image Generation / Technical Cybernetic Illustration
"Night Drag Shutter Burn
A visual explosion in the middle of a fast-moving street. Frozen faces, sweeping movements, and a palpable ""noir"" atmosphere. Everything is planned, yet the results are always wild and raw.",Image Generation / Noir Street Action Scene
"A top-down perspective of a young man lying on a clean white floor, styled in a classic 90s outfit: a loose graphic tee, light-washed denim jeans, chunky sneakers, and over-ear retro headphones. He holds a portable cassette player in one hand, the tape slightly exposed. Scattered around him are colorful vinyl records, chunky old CRT televisions, and vintage electronics, arranged with clear spacing to create a nostalgic 90s atmosphere.",Image Generation / Nostalgic 90s Top-Down Scene
"a diminutive street musician, no taller than a wine bottle, performing atop a stack of vintage leather-bound books in a cozy Parisian bookshop. The tiny violinist wears a patchwork coat of jewel-toned velvet scraps and miniature brass buttons, their wild silver hair crowned with a thimble-sized top hat adorned with peacock feathers. Golden afternoon light streams through dust motes, in the warm, honey-colored atmosphere.",Image Generation / Fantasy Miniature Musician
"An ultrarealistic 8K HD cinematic photo of a young woman taking a mirror selfie with an iPhone.

She wears white tailored pants with a black thin belt, a black high-neck top, and a long black blazer draped over her shoulders.

Her straight hair, diamond studs, and light makeup complete the polished look.
A tiny black handbag hangs on her shoulder, and she holds a coffee cup.

Soft cinematic lighting highlights outfit textures with a slightly blurred background.",Image Generation / Ultrarealistic Mirror Selfie Portrait
,
"A disposable camera picture with the classic harsh flash, capturing a messy living room after a chaotic party night. The mood is silly, slightly drunk, chaotic, and humorous.
In the center of the scene is a low wooden coffee table completely cluttered with party leftovers: half-full bottles of Bacardi, whiskey bottles, several red plastic cups (one tipped over spilling liquor), scattered cigarettes, ashtrays, chips bags, and random snacks, overflowing Los Pollos Hermanos buckets, spilled blue rock candy crystals, stacks of cash, empty beer bottles (Schraderbräu), and pizza boxes. The floor has confetti, wrappers, and a few empty bottles. Everything looks naturally messy and unorganized.

On the couch behind the table sit five Breaking Bad characters, all behaving in a funny, slightly drunk, in-character way:
The Characters & Their Actions on the Couch (Left to Right):

1.  Hank Schrader: (Sitting on the left end of the couch, awake) His face is bright red and covered in sweat, with an expression of pure shock and disbelief. He is holding open a worn copy of Walt Whitman's ""Leaves of Grass"" notebook, staring intently at the handwritten inscription inside (""To my other favorite W.W."").
2.  Walter White: (Standing just behind Hank) He is captured in a dynamic, mid-swing motion, holding a plastic flyswatter. His face shows intense, determined focus and seriousness, eyes fixed on the air just above Hank's head, completely oblivious to what Hank is reading. He is poised to strike hard. Still wearing his green shirt, tighty-whities, and porkpie hat.
3.  Saul Goodman: (Next to Hank, leaning towards Gus) Passed out slumped sideways against Gus's shoulder. Someone has drawn a thick, curly mustache and glasses on his face with a black marker. A piece of paper is taped to his chest that crookedly reads: ""FREE LEGAL ADVICE - WAKE ME UP!"".
4.  Gus Fring: (Sitting perfectly center on the couch) The absolute contrast. He is sitting bolt upright in an immaculate suit, hands clasped tightly and formally on his lap. He stares directly into the camera lens with a dead-serious, chilling, expressionless gaze, completely ignoring Mike and Saul leaning on him from both sides.
5.  Mike Ehrmantraut: (On the right of Gus) Fast asleep, slumped sideways and leaning comfortably against Gus's other rigid shoulder. He is snoring peacefully. A perfectly balanced tower of three empty red solo cups sits precariously on top of his bald head.

The Floor: Jesse Pinkman: (On the floor in front of the couch) Wearing multiple party hats stacked on his head, tangled in a blanket. He is trying to take a selfie with an old flip phone held out at arm's length, making a ridiculous face with a slice of pizza hanging out of his mouth.

Everything feels authentically chaotic, funny, and candid.

Shot on disposable camera film, harsh flash, slightly off-center framing, realistic 90s timestamp in the corner (OCT 31 ’98). Grainy, imperfect, silly, nostalgic snapshot.",Image Generation / Chaotic Party Scene Snapshot
Add illustrated googly eyes and stick hands on the (object/animal/ your bff) in an exaggerated comedic pose,Image Generation / Comedic Illustration Overlay
​A high-quality photorealistic portrait of a young woman sitting on the edge of a swimming pool on a sunny day. She has voluminous long dark wavy hair styled with a white flower hair clip on one side. She is wearing a vintage-inspired matching two-piece set: a black sleeveless crop top with a delicate white floral print and a prominent white collar with a bow and a matching mini skirt. She is looking directly at the camera with a soft expression. The background features bright blue shimmering pool water and blurred tropical greenery. The lighting is bright and natural highlighting the details of her outfit and hair. 8k resolution cinematic lighting.,Image Generation / Photorealistic Poolside Portrait
,
"A moody triptych of a  man (use 100% reference face) in a black long trench coat with dark outfit,  silver rings and bracelet in his hand, and wild windy hairs.

Top panel: Direct gaze, standing in tall dark grass, sky overcast, dramatic contrast, coat fluttering.

Middle panel: Profile view, looking up at the cloudy sky, hair blowing dramatically, grass partially covering the frame for depth.

Bottom panel: Close-up of his face, sharp attractive eyes, hairs moving in the wind. DON'T CHANGE FACE",Image Generation / Moody Triptych Portrait
"Created with nano banana pro:
Cinematic high grain 90s portrait Dutch angle tilted shot, 23-year-old woman leaning against tree taking picture dynamic composition, wearing oversized flannel shirt layers winter, long hair hanging sideways, serene dreamy atmosphere but dynamic framing, warm orange cool blue contrast nostalgic grading, heavy film grain texture noise throughout, artistic playful moment nature photography, diagonal tree lines background, vintage 90s aesthetic mood, editorial nostalgic winter artistic captured, modern retro film noise masterpiece.",Image Generation / Nostalgic 90s Portrait Editorial
"A young woman sitting at an outdoor café table in a Paris setting, with the Eiffel Tower visible in the background under a bright blue sky with soft clouds. She has dark brown wavy messy hair. She wears a light gray stylish jacket and a metallic wristwatch, posing with a relaxed smile and her hand near her face. The table is set with colorful patterned plates, bread, appetizers, and a glass of water. The surroundings include lush green foliage and classic Parisian architecture. Shot in natural daylight, high-resolution, 35mm lens, f/2.8, crisp details, vibrant colors, shallow depth of field, lifestyle photography style with a warm and cheerful ambiance.",Image Generation / Outdoor Paris Lifestyle Portrait
,
"A professional, high-resolution profile photo, maintaining the exact facial structure, identity, and key features of the person in the input image. The subject is framed from the chest up, with ample headroom. The person looks directly at the camera. They are styled for a professional photo studio shoot, wearing a premium smart casual blazer in a subtle charcoal gray. The background is a solid '#562226' neutral studio color. Shot from a high angle with bright and airy soft, diffused studio lighting, gently illuminating the face and creating a subtle catchlight in the eyes, conveying a sense of clarity. Captured on an 85mm f/1.8 lens with a shallow depth of field, exquisite focus on the eyes, and beautiful, soft bokeh. Observe crisp detail on the fabric texture of the blazer, individual strands of hair, and natural, realistic skin texture. The atmosphere exudes confidence, professionalism, and approachability. Clean and bright cinematic color grading with subtle warmth and balanced tones, ensuring a polished and contemporary feel.",Image Generation / Professional Portrait
"Create a 9-image Instagram feed for this product in the same aesthetic. Use different locations, angles, and compositions, incorporating people, animals, nature, and various environments while maintaining a cohesive visual style.",Image Generation / Instagram Product Feed Layout
"Create a realistic portrait of a young woman (keep the face and appearance 100% identical to the reference — do not alter anything). The woman is in the water beside a metal pool ladder at night. The poolside tiles are small gray squares. In the background, there are folded white umbrellas with red trim and a row of white lounge chairs. The pool lights and surrounding area give off a warm, dim glow. The woman’s pose: her left arm rests along the pool edge, and her chin is placed on her right hand. She is wearing a black string-tie bikini. She has narrow rimless glasses (slightly slipping down the bridge of her nose). Her hair is the same as the reference, with a small strand falling across her face. The flower behind her ear has been removed. Her hair moves subtly in the breeze, giving a cool, stylish, slightly sexy vibe with volume. Her makeup: soft pink blush, rosy tint on cheeks and nose, full lips in a pink-peach tone. Fair, smooth skin reflecting the flash light. She is looking to the side with a cute, dreamy, slightly playful expression. Overall atmosphere: quiet, luxurious, and subtly sexy. Tone & Camera: A digital camera from the 2000s (Canon IXUS, Sony Cyber-shot, Casio Exilim).

Shot with direct flash at night.

The photo has a soft white-pink cast, bright skin tones, slight grain, sharp skin details, and distinct flash reflections on the skin.",Image Generation / Night Poolside Portrait
"A professional, high-resolution profile photo, maintaining the exact facial structure, identity, and key features of the person in the input image. The subject is framed from the chest up, with ample headroom. The person looks directly at the camera. They are styled for a professional photo studio shoot, wearing a premium smart casual blazer in a subtle charcoal gray. The background is a solid '#562226' neutral studio color. Shot from a high angle with bright and airy soft, diffused studio lighting, gently illuminating the face and creating a subtle catchlight in the eyes, conveying a sense of clarity. Captured on an 85mm f/1.8 lens with a shallow depth of field, exquisite focus on the eyes, and beautiful, soft bokeh. Observe crisp detail on the fabric texture of the blazer, individual strands of hair, and natural, realistic skin texture. The atmosphere exudes confidence, professionalism, and approachability. Clean and bright cinematic color grading with subtle warmth and balanced tones, ensuring a polished and contemporary feel.",Image Generation / Professional Portrait
"Tokyo Street Crossing

A grainy digital photo shows a young woman in a trench coat holding a clear umbrella, looking up at neon signs in a busy, rain-slicked crosswalk. Hundreds of blurred figures surround her.",Image Generation / Tokyo Street Scene
"London Underground Station

A digital snapshot captures a student with a backpack and headphones waiting on a crowded subway platform. The blurred image shows a train pulling in and other commuters.",Image Generation / London Subway Snapshot
"Hiking Trail in the Rockies

A slightly blurry digital photo from 2006 shows a hiker with a large backpack pausing on a dirt path, looking out over a mountain range under a cloudy sky.",Image Generation / Mountain Hiking Scene
"Seattle Coffee Shop

A candid digital photo from 2006 shows a man with a beard and a striped shirt reading a newspaper at a worn wooden table. Rain streaks the window behind him, obscuring the street view.",Image Description / Urban Photography
"Christmas Market in Chicago

A low-resolution digital picture focuses on a woman in a thick winter coat holding a mug of hot cocoa, laughing. Festive lights and blurred market stalls with holiday decorations fill the background under a light snowfall.",Image Description / Holiday Scene
"Parisian Cafe Terrace

A digital photograph captures an older woman with sunglasses and a scarf sipping coffee at a small outdoor table. A blurred waiter and pedestrians stroll past classic Haussmann buildings in the background",Image Description / Street Photography
"Beach Bonfire in California

A low-light digital picture captures a group of friends laughing around a bonfire on a sandy beach at night. The firelight illuminates their faces while the ocean is dark in the background",Image Description / Night Scene
"Santa Monica Pier at Sunset

A slightly pixelated digital photo captures a young couple in hoodies embracing on a wooden pier at dusk. The setting sun casts a warm, orange glow over the blurred Ferris wheel and distant beachgoers.",Image Description / Sunset Photography
"Generate a photorealistic image of Time Square on a saturday in Fall 2006, it's a beautiful late October day, people are busy. in focus should be a young blonde - rest can be blurred. the photo should be reminiscent of that a digital camera from 2006 would take, with a timestamp like a printed photo would have.",Image Generation / Photorealistic Cityscape
"tilt-shift photo of a grand piano keyboard, side view from the left looking along the keys to the right, shallow depth of field, tiny human figures cleaning the piano keys with brushes, cloths, and buckets, whimsical and surreal scene, soft lighting, hyper-detailed, high realism --ar 3:2",Image Generation / Surreal Tilt-Shift Photography
a shear and moment diagram for a simply supported beam with a uniform load of 100 plf. the beam is 100 feet long,Diagram Generation / Structural Engineering
ベーシックインカムについてまとめた画像を作成して,Image Generation / Summary Visualization (Japanese)
生成一副《水浒》排名前30的人物图，grid格式，中国工笔画风格，每个人物的cell的右下角写上人物的姓名。,Image Generation / Character Grid Illustration (Chinese Art Style)
"Create an image of 37°31'11.24""N 126°56'25.11""E at night.",Image Generation / Nighttime Location Visualization
添付画像のキャラクターでLINEスタンプを作成してほしい。表情・ポーズ・セリフが異なる形で全12種類。〇〇系のセリフで使いやすいものでお願い。,Image Generation / Character Lineup for LINE Stickers (Japanese)
"Generate an image of the person from the uploaded reference image, keeping the face and hairstyle exactly as in the uploaded image.
Dress the person in the clothing from the uploaded clothing image, preserving the style, color, and details of the garment.
Pose the person in a cute and natural pose, looking towards the camera.
Realistic photo style, natural lighting, high resolution.
Background optional, neutral or Tokyo street setting.

左: 合成結果（Nano Banana Pro）
右: 参照画像（人物＋着せたい服）",Image Generation / Photorealistic Character with Clothing
添付画像のイラストをキャラにして。LINEスタンプを作成。表情・ポーズ別・セリフ入で16種類。,Image Generation / LINE Sticker Creation with Expressions (Japanese)
"Amateur photograph from 1998 of a middle-aged artist copying an image by hand from a computer screen to an oil painting on stretched canvas, but the image is itself the photo of the artist painting the recursive image.",Image Description / Recursive Photograph Concept
Zoom in on the toes,Image Manipulation / Close-up Detail Crop
"Draw an anime poster for the 2025 World Series: The Dodgers vs. Blue Jays, featuring the starting lineups for both teams. The players' jersey numbers must match real-life. The best hitters and starting pitchers for both teams should be included. Shohei Ohtani only appears once :)",Illustration / Sports Anime Poster
"The other day, while messing around with Nano Banana Pro, I randomly thought of Hieronymus Bosch. Then I got curious and asked Gemini to write a prompt around this idea: “a text-to-image prompt in the style of Hieronymus Bosch, featuring the most powerful people in the world, politicians, artists, tech giants, basically anyone shaping the world.”
That’s literally all I typed. And it produced something insanely strange. I made a few tweaks afterwards, but the final image is still wild, especially the reptilian guy holding the entire world. (And yes, the AI was clearly inspired by The Garden of Earthly Delights.)",Text Description / Artwork Concept Inspired by Hieronymus Bosch
"Prompt on Nano Banana Pro with image reference : Make this person do the expression of emoji [EMOJI]

: 🤪🤣😱😁",Image Generation / Facial Expression Change Using Reference
"Hyper-realistic portrait of a strikingly handsome young man in his mid-20s, flawless symmetrical face, intense piercing ice-blue eyes, thick dark wavy hair with perfect volume and natural shine, short well-groomed beard, sharp jawline, sun-kissed warm skin tone, subtle masculine features, small diamond stud earring in left ear, wearing a simple white t-shirt, thin silver chain necklace, soft studio lighting with gentle rim light, clean light gray background, ultra-detailed skin texture, pore-level realism, cinematic color grading, shot on 85mm lens, 8k resolution, photorealistic, masterpiece, best quality",Image Generation / Hyper-Realistic Male Portrait
"Edit this photo without changing the face turning it into an artistic portrait The woman should be elegantly seated on the floor, wearing a modern black top, soft loose gray jeans, and chunky gray and white sneakers. She has long, waist-length wavy milky brown hair half of which is braided Her facial expression is laughing while looking upwards. The background should be an artistic monochrome(black and white) composition featuring a soft close-up side profile of the same face.",Image Manipulation / Artistic Portrait Edit
"A professional portrait photograph captures a young woman with dark, wavy, shoulder-length hair, looking back over her shoulder directly at the camera with a serious, alluring expression. She wears a form-fitting, dark navy short-sleeved dress with a pleated skirt. Dramatic side-lighting highlights her face and the curve of her back. The setting is a dimly lit, minimalist room with dark blue-grey walls and a blurred wooden door in the background. The lighting is moody and high-contrast, focusing attention on the subject.",Image Description / Professional Portrait Photography
"Draw a detailed {{pet shop}} scene and label every object with English words.

Label format: 
- First line: English word 
- Second line: IPA pronunciation 
- Third line: {Chinese} translation",Illustration / Labeled Pet Shop Scene for Language Learning
"A highly detailed 8k digital illustration of a person, presented as a close-up, eye-level headshot, facing directly forward against a clean white background. The composition is centered, capturing the upper torso. The subject features voluminous, dark, curly hair with defined strands and a stylishly messy texture. They wear distinct black-framed glasses. The overall aesthetic combines a grayscale base for the skin and a dark, ribbed t-shirt with dynamic, vibrant splashes of*multi-colored light, including reds, oranges, yellows, greens, blues, and purples, which appear as if painted or projected onto the face, neck, and shoulders. This stylized, cinematic lighting creates sharp contrasts and a graphic novel aesthetic, emphasizing contours with bold color accents and highly detailed textures. The eyes have a reddish-brown hue. The artwork exhibits sharp lines, clean vectors, and a high level of detail in the hair and glasses,*creating a visually striking,modern portrait with a unique blend of monochrome and neon color. uploaded face as reference",Image Generation / Stylized Cinematic Portrait
"A young girl with long, wavy brown hair, wearing a teal hooded sweatshirt, holds a small white puppy with light blue eyes. She is making a puckering face at the camera, while the puppy looks calmly forward. They are outdoors in what appears to be a winter setting, with snow on the ground and bare trees in the background. A blurred silver car is visible behind her, and the sky is a clear light blue.",Image Description / Winter Portrait with Puppy
"Editorial fashion photo, medium portrait, seated model wearing a cream shearling jacket (shaggy texture), denim shirt layered, light blue jeans, black leather Chelsea boots, beige socks, relaxed pose with one leg bent, hand supporting the head, clean light gray studio backdrop, soft natural studio lighting, gentle side key light, subtle fill, soft shadows, emphasis on tactile textures fluffy shearling.",Image Description / Editorial Fashion Photography
"Cute and aesthetic winter portrait featuring a woman in an oversized pastel hoodie, sleeves covering her hands as she warms them with her breath. Add minimal makeup, soft cold-blush cheeks, and straight hair falling naturally. Background: blurred snowy trees with warm sunlight creating a dreamy winter glow. The scene should feel warm, youthful, and US cozy-vibes inspired.”",Image Description / Cozy Winter Portrait
"*Task: Generate a high-fidelity, cinematic-quality environment render based on a narrative brief.**

**Objective:**
Act as a professional set designer and director of photography. Given a short narrative description, generate a single, hyper-realistic image that perfectly captures the scene's mood, atmosphere, and visual detail.

**Input Parameters:**
1.  **Scene Description:** (e.g., ""A lone detective sits in a dimly lit, rain-streaked diner booth at 3 AM, the neon sign outside casting a harsh red glow on his face."")
2.  **Visual Style/Era:** (e.g., ""Neo-Noir,"" ""Cyberpunk,"" ""1950s Technicolor,"" ""Gothic Horror"")
3.  **Camera/Lens:** (e.g., ""Wide-angle shot,"" ""Close-up, 85mm lens,"" ""Low-angle, dramatic perspective"")

**Core Deliverables:**

1.  **Photorealistic Render:** A single, high-resolution image that is indistinguishable from a photograph.
2.  **Atmospheric Lighting:** The lighting must be the primary driver of the mood, utilizing complex techniques (e.g., volumetric fog, rim lighting, high-contrast chiaroscuro).
3.  **Compositional Storytelling:** The composition must guide the viewer's eye and convey the narrative tension or emotion of the scene description.
4.  **Detail & Texture:** Extreme attention to surface detail (e.g., wet asphalt, worn leather, reflections in glass).

**Workflow:**

1.  **Analyze:** Deconstruct the narrative brief into its core emotional, environmental, and lighting components.
2.  **Design:** Select the optimal camera angle and lighting setup to maximize the cinematic impact.
3.  **Render:** Generate the final image, ensuring the specified Visual Style/Era is authentically represented.",Image Generation / Cinematic Environment Render
"Use facial feature of attached photo. A close-up shot of a young woman displayed on the screen of a compact Canon digital camera. The camera body surrounds the image with its buttons, dials, and textured surface visible, including the FUNC/SET wheel, DISP button, and the “IMAGE STABILIZER” label along the side. The photo on the screen shows the woman indoors at night, illuminated by a bright built-in flash that creates sharp highlights on her face and hair. She has long dark hair falling across part of her face in loose strands, with a soft, slightly open-lip expression. The flash accentuates her features against a dim, cluttered kitchen background with appliances, shelves, and metallic surfaces softly blurred. The mood is candid, raw, nostalgic, and reminiscent of early 2000s digital camera snapshots. Colors are slightly muted with cool undertones, strong flash contrast, and natural grain from the display. No text, no logos inside the photo preview itself.

Scale ratio: 4:5 vertical

Camera: compact digital camera simulation
Lens: equivalent to 28–35mm
Aperture: f/2.8
ISO: 400
Shutter speed: 1/60 with flash
White balance: auto flash
Lighting: harsh direct flash on subject, ambient low light in the background
Color grading: nostalgic digital-camera tones, high contrast flash, subtle display grain, authentic screen glow",Image Generation / Digital Camera Screen Portrait Simulation
"A highly stylized 3D caricature of the person in the uploaded image, with expressive facial features, and playful exaggeration. Rendered in a smooth, polished style with clean materials and soft ambient lighting. Bold color background to emphasize the character’s charm and presence.",Image Generation / 3D Stylized Caricature
"Generate a 8k Instagram-style portrait of an Indian woman sitting in a trendy café. Add warm ambient lighting, latte tones, and aesthetic decor. Outfit should be modern—crop top, oversized shirt, or denim jacket. Pose relaxed with chin resting on hand and soft smile. Add film-like mood for a cozy vibe. keep 100% same face expression",Image Generation / Instagram-Style Portrait
"A young woman with dark wavy hair sits in a black hoodie partially open over a white t-shirt, close-up from front below, slightly tilted to the right, sensual confident gaze, lips slightly parted, eyes looking upward and slightly to the right, slowly raising one hand touching side of neck or chin, shoulders relaxed, smooth skin with sharp feminine features, captivating eyes, small elegant tattoo on left arm, dramatic lighting with faint red light from left creating highlights on skin and hoodie, dark shadowed background, visible skin pores and fabric texture, minimal dark background with faint red frame in upper left corner, cinematic and detailed.",Image Generation / Cinematic Female Portrait
"A hyper realistic 3D rendered image of a stylish young man, sitting at a pc desk in a gaming studio, scrolling on his phone, specs, he is wearing black shirt,coat paint, Glowing film strips with different images (instagram reels, posts, stories) flow out above the phone and spread across the floor, wrapping around the chair.

Cinematic lighting, realistic, vibrant, vertical 1080*1440 ratio, UHD, Exact same face based on reference image.",Image Generation / Hyper-Realistic 3D Gamer Portrait
"Add ultra-tiny realistic skiing, snowboarding, and winter-sports action figures interacting with the surfaces of the uploaded image. Place the miniature characters as if the object in the image is a snowy mountain slope. They should match the curvature, angles, and depth of the object naturally. Include variations like skiers carving turns, snowboarders jumping, climbers scaling the sides, and one or two funny moments (a skier falling, a snowboarder mid-flip, a tiny husky dog on a sled). Maintain scale extremely small and consistent. Blend shadows and reflections with high realism so they feel physically integrated on the object. Keep the original image style, lighting, and colors exactly the same. No distortion of the base object.",Image Manipulation / Miniature Winter Sports Scene Overlay
"Create a hyper-realistic wide-angle street-café POV photo featuring the attached face. Keep the face exactly as provided — same features, expression, and photorealistic detail. The character extends their hand toward the camera holding a cup of matcha or coffee, creating an exaggerated close-up foreground perspective. Use slight fisheye distortion, natural outdoor lighting, casual street background, reflections in the café window, real people around, candid everyday mood.",Image Generation / Wide-Angle Street Café Photorealistic
"Narrative, cinematic photofray ,woman in a deep burgundy polka dot dree with cream dots, a high necked white lace collar fastened with a small cameo brooch. White kitten heel pumps white seamed nylon stockings. Hair in an elegant french twist with a small netted fascinated hat tilted to one side. Pose: leaning out the open window of a moving vintage train car one hand holding her hat looking back towards the platform with a wistful, longing expression, steam from the engine blowing past her. Background: an old, grand train stay platform receding into the distance, a trail of steam  creating a hazy atmosphere, the station clock is visible. Camera angle: close up on her face and shoulders, shot from the platform's perspective. Color grading: faded Kodachrome 64 aesthetic, slightly desaturated colors with a warm , reddish brown undertone, soft focus, heavy cinematic grain, vignetting.",Image Generation / Narrative Cinematic Portrait
"A high-resolution photorealistic portrait of a young woman sitting at a wooden table in a sunlit cafe. She has long soft brown hair tied back in a high loose ponytail with wispy bangs framing her face. She is wearing a chunky oversized pastel yellow knit sweater.
​Pose: She is leaning forward resting her chin in her hands with her elbows on the table looking directly at the camera with a soft calm expression.
​Lighting & Atmosphere: Warm golden hour sunlight creates strong shadows and highlights on her face. The lighting is cinematic and cozy. There is a white ceramic coffee mug on the table in the foreground. The background is a soft warm-toned blur (bokeh) suggesting a cozy room interior. High quality 8k soft focus aesthetic",Image Generation / Photorealistic Café Portrait
"A highly detailed 8k digital illustration of a person, presented as a close-up, eye-level headshot, facing directly forward against a clean white background. The composition is centered, capturing the upper torso. The subject features voluminous, dark, curly hair with defined strands and a stylishly messy texture. They wear distinct black-framed glasses.The overall aesthetic combines a grayscale base for the skin and a dark, ribbed t-shirt with dynamic, vibrant splashes of multi-colored light, including reds, oranges, yellows, greens, blues, and purples, which appear as if painted or projected onto the face, neck, and shoulders. This stylized, cinematic lighting creates sharp contrasts and a graphic novel aesthetic, emphasizing contours with bold color accents and highly detailed textures. The eyes have a reddish-brown hue. The artwork exhibits sharp lines, clean vectors, and a high level of detail in the hair and glasses, creating a visually striking, modern portrait with a unique blend of monochrome and neon color. uploaded face as reference",Image Generation / Detailed Cinematic Portrait
"Transform a simple flat vector logo into a soft, 3D fluffy object. Use the exact colors. The shape is fully covered in fur, with hyperrealistic hair texture and soft shadows. The object is centered on a clean, light gray background and floats gently in space. The style is surreal, tactile, and modern, evoking a sense of comfort and playfulness. Studio lighting, high-resolution render.",Image Generation / 3D Fluffy Logo Transformation
"Create a hyper-realistic portrait of the  woman from the uploaded image, she is walking   inside the gym lobby . she is wearing the full outfit and accessories exactly as in the attached image 2, follow the outfit completely and precisely as in the image, her hair color same in photo uploaded  straight in hair tie bun and few strands each face side  flowing gracefully. Copy the make up on the photo provided  A confident stylish pose,with 8k hd resolutions.",Image Generation / Hyper-Realistic Gym Portrait
"Generate an ultra-detailed, hyperrealistic exploded technical view of Kaneda’s iconic red motorcycle from Akira. The image should show every component separated in 3D space, floating in a clean engineering layout, with perfect alignment and labeled layers. Keep the perspective dynamic but readable, like a premium industrial design schematic.",Image Generation / Technical Illustration
"Create a hyper-realistic portrait of the beautiful woman from the reference photo, presented inside an oversized Instagram post frame that dominates the scene. Her facial features remain identical to the reference delicate yet sharp, clean, and naturally stunning.
She stands in a modern, slightly dynamic pose: upper body leaning subtly forward as if engaging directly with the viewer, one hand casually gripping the top edge of the Instagram frame, while one leg steps gracefully outward through the frame, creating a smooth and stylish 3D illusion. The pose feels youthful, fresh, effortlessly elegant, and confidently cool.
Give her a high-fashion model expression—eyes locked onto the viewer with calm, magnetic intensity; lips relaxed and neutral; jawline softly defined. No smile or smirk—just a strong, clean, modern editorial gaze with subtle freshness and quiet power.
She wears a ribbed knit sweater in hex color #18091D, high-waisted straight-fit white trousers, and sleek white-grey low-top sneakers, creating a crisp, cool-toned outfit with rich contrast.
The Instagram frame is ultra-realistic with:
username “miilesus”
verified badge
display name “AI Generation”
caption “nano banana pro”
hashtags under the caption: “#gemini #nanobanana #ai”
authentic Instagram UI icons (like, comment, share, save)
a circular profile picture identical to the reference photo of her
Background:
Use a solid background in the deep tone #18091D, with no gradients clean, smooth, modern, and slightly cinematic.
Lighting should be clean and high-end, accentuating the structure of her face, the ribbed texture of the knit sweater, and the 3D breakout effect. The final result should feel modern, bold, and editorial.",Image Generation / Hyperrealistic Fashion Portrait
"A quiet riverside path dusted with the first snow of the season. Bare branches arch overhead while a red-scarfed fox trots along the bank, leaving small footprints in the powder. Rendered in watercolor with soft pencil outlines, muted winter tones, and a gentle, serene mood.",Image Generation / Watercolor Landscape Illustration
为我生成图中角色的绘制 Q 版的，LINE 风格的半身像表情包，注意头饰要正确 彩色手绘风格，使用 4x6 布局，涵盖各种各样的常用聊天语句，或是一些有关的娱乐 meme 其他需求：不要原图复制。所有标注为手写简体中文。 生成的图片需为 4K 分辨率 16:9,Image Generation / LINE Style Emoji Design
